Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,1372,1242,718,49106.203125,0.014621
2,1000,0.1,0.2,50.0,1000,1397,1242,728,50004.914062,0.014559
3,1000,0.1,0.2,50.0,1000,1442,1290,710,51058.718750,0.013906
4,1000,0.1,0.2,50.0,1000,1366,1216,716,49834.714844,0.014367
5,1000,0.1,0.2,50.0,1000,1352,1217,748,50678.769531,0.014760
6,1000,0.1,0.2,50.0,1000,1381,1264,706,50468.429688,0.013989
7,1000,0.1,0.2,50.0,1000,1424,1259,723,50299.765625,0.014374
8,1000,0.1,0.2,50.0,1000,1391,1273,727,50609.066406,0.014365
9,1000,0.1,0.2,50.0,1000,1387,1245,701,49727.609375,0.014097
10,1000,0.1,0.2,50.0,1000,1385,1266,716,49776.691406,0.014384
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,1557,1233,636,49946.507812,0.012734
2,1000,0.2,0.2,50.0,1000,1520,1213,639,49427.246094,0.012928
3,1000,0.2,0.2,50.0,1000,1554,1241,624,49794.511719,0.012532
4,1000,0.2,0.2,50.0,1000,1577,1248,643,49945.992188,0.012874
5,1000,0.2,0.2,50.0,1000,1501,1209,651,49913.601562,0.013043
6,1000,0.2,0.2,50.0,1000,1543,1250,627,50028.785156,0.012533
7,1000,0.2,0.2,50.0,1000,1576,1233,648,49933.234375,0.012977
8,1000,0.2,0.2,50.0,1000,1577,1263,661,50538.910156,0.013079
9,1000,0.2,0.2,50.0,1000,1592,1247,608,50221.667969,0.012106
10,1000,0.2,0.2,50.0,1000,1523,1236,645,49700.710938,0.012978
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,1912,1156,438,50542.812500,0.008666
2,1000,0.4,0.2,50.0,1000,1945,1177,444,50771.226562,0.008745
3,1000,0.4,0.2,50.0,1000,1932,1142,421,50618.167969,0.008317
4,1000,0.4,0.2,50.0,1000,1935,1176,457,51078.609375,0.008947
5,1000,0.4,0.2,50.0,1000,1817,1097,443,48773.289062,0.009083
6,1000,0.4,0.2,50.0,1000,1861,1152,462,49870.226562,0.009264
7,1000,0.4,0.2,50.0,1000,1886,1116,434,49877.714844,0.008701
8,1000,0.4,0.2,50.0,1000,1885,1115,447,50593.300781,0.008835
9,1000,0.4,0.2,50.0,1000,1895,1103,407,49329.472656,0.008251
10,1000,0.4,0.2,50.0,1000,2006,1191,419,51956.960938,0.008064
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,2206,880,243,50469.652344,0.004815
2,1000,0.6,0.2,50.0,1000,2135,882,228,48991.359375,0.004654
3,1000,0.6,0.2,50.0,1000,2198,866,222,49627.515625,0.004473
4,1000,0.6,0.2,50.0,1000,2182,902,252,49410.484375,0.005100
5,1000,0.6,0.2,50.0,1000,2167,897,238,50218.175781,0.004739
6,1000,0.6,0.2,50.0,1000,2189,892,237,50131.222656,0.004728
7,1000,0.6,0.2,50.0,1000,2172,860,214,49350.269531,0.004336
8,1000,0.6,0.2,50.0,1000,2164,882,222,49291.812500,0.004504
9,1000,0.6,0.2,50.0,1000,2130,844,223,48614.355469,0.004587
10,1000,0.6,0.2,50.0,1000,2143,872,236,49279.648438,0.004789
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,2472,530,65,51245.187500,0.001268
2,1000,0.8,0.2,50.0,1000,2433,514,73,50601.644531,0.001443
3,1000,0.8,0.2,50.0,1000,2398,501,66,49803.019531,0.001325
4,1000,0.8,0.2,50.0,1000,2456,510,64,50559.628906,0.001266
5,1000,0.8,0.2,50.0,1000,2424,494,69,49945.011719,0.001382
6,1000,0.8,0.2,50.0,1000,2427,508,74,50744.296875,0.001458
7,1000,0.8,0.2,50.0,1000,2425,482,57,50232.160156,0.001135
8,1000,0.8,0.2,50.0,1000,2481,481,67,51149.058594,0.001310
9,1000,0.8,0.2,50.0,1000,2366,489,71,49176.312500,0.001444
10,1000,0.8,0.2,50.0,1000,2453,488,56,50663.632812,0.001105
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,2088,1877,998,49527.835938,0.020150
2,1000,0.1,0.2,50.0,1000,2174,1953,999,49672.882812,0.020112
3,1000,0.1,0.2,50.0,1000,2038,1844,993,50703.875000,0.019584
4,1000,0.1,0.2,50.0,1000,2092,1886,998,50956.257812,0.019585
5,1000,0.1,0.2,50.0,1000,2014,1802,995,49863.609375,0.019954
6,1000,0.1,0.2,50.0,1000,2071,1882,998,50981.492188,0.019576
7,1000,0.1,0.2,50.0,1000,2108,1878,999,51297.304688,0.019475
8,1000,0.1,0.2,50.0,1000,1962,1752,995,50378.664062,0.019750
9,1000,0.1,0.2,50.0,1000,2132,1915,997,51547.394531,0.019341
10,1000,0.1,0.2,50.0,1000,2153,1930,999,49593.531250,0.020144
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,3163,2530,996,47894.660156,0.020796
2,1000,0.2,0.2,50.0,1000,2952,2352,993,50192.761719,0.019784
